Date : 2021-07-09 15:41:52
Directory : /Users/mac/Workspaces/Code/foa/frontend/src
Total : 337 files,  35543 codes, 2062 comments, 4738 blanks, all 42343 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| lang/entries                                                                                               |          3 |         30 |          0 |          3 |         33 |
| lang/locales                                                                                               |          2 |        211 |         28 |         22 |        261 |
| layout                                                                                                     |          3 |         70 |          0 |         11 |         81 |
| redux                                                                                                      |         27 |      2,376 |        193 |        270 |      2,839 |
| redux/auth                                                                                                 |          3 |        300 |         57 |         32 |        389 |
| redux/menu                                                                                                 |          3 |      1,236 |         42 |        107 |      1,385 |
| redux/menu2                                                                                                |          2 |        155 |          0 |         21 |        176 |
| redux/merchant                                                                                             |          3 |         96 |          4 |         12 |        112 |
| redux/newOrder                                                                                             |          3 |         70 |         34 |         12 |        116 |
| redux/restaurant                                                                                           |          3 |        178 |         26 |         20 |        224 |
| redux/settings                                                                                             |          2 |         26 |          0 |          9 |         35 |
| redux/staff                                                                                                |          3 |        148 |          1 |         18 |        167 |
| redux/utils                                                                                                |          1 |          8 |          0 |          1 |          9 |
| views                                                                                                      |        150 |     13,531 |      1,074 |      1,675 |     16,280 |
| views/HourSelect                                                                                           |          3 |         83 |          3 |         18 |        104 |
| views/app                                                                                                  |        131 |     11,596 |        941 |      1,451 |     13,988 |
| views/app/MenuCreate                                                                                       |          3 |        218 |         18 |         26 |        262 |
| views/app/MenuGroupCreate                                                                                  |          3 |        100 |          1 |         12 |        113 |
| views/app/MenuGroupDetail                                                                                  |          3 |        136 |          3 |         28 |        167 |
| views/app/MenuGroupEdit                                                                                    |          3 |        257 |          5 |         38 |        300 |
| views/app/MenuGroupList                                                                                    |          5 |        612 |         13 |         68 |        693 |
| views/app/MenuInfo                                                                                         |          4 |        775 |         56 |         86 |        917 |
| views/app/MenuItem                                                                                         |          3 |         56 |          1 |          9 |         66 |
| views/app/MenuItemCreate                                                                                   |          3 |        291 |         45 |         35 |        371 |
| views/app/MenuItemDetail                                                                                   |          3 |        153 |          4 |         28 |        185 |
| views/app/MenuItemEdit                                                                                     |          3 |        349 |         10 |         51 |        410 |
| views/app/NewOrderDetail                                                                                   |          3 |         10 |          0 |          7 |         17 |
| views/app/OrderDetail                                                                                      |          3 |        158 |          1 |         22 |        181 |
| views/app/OrderList                                                                                        |          7 |        788 |         65 |         82 |        935 |
| views/app/SelectTopping                                                                                    |          3 |        314 |         21 |         46 |        381 |
| views/app/SelectToppingCard                                                                                |          3 |        102 |         14 |         17 |        133 |
| views/app/StaffDetail                                                                                      |          3 |        123 |          4 |         30 |        157 |
| views/app/StaffEdit                                                                                        |          3 |        296 |         25 |         51 |        372 |
| views/app/StaffList                                                                                        |          7 |        692 |         32 |         66 |        790 |
| views/app/ToppingGroupCreate                                                                               |          3 |        157 |         10 |         19 |        186 |
| views/app/ToppingGroupDetail                                                                               |          3 |        150 |          3 |         28 |        181 |
| views/app/ToppingGroupEdit                                                                                 |          3 |        266 |          5 |         38 |        309 |
| views/app/ToppingGroupList                                                                                 |          5 |        698 |          9 |         73 |        780 |
| views/app/ToppingItemCreate                                                                                |          3 |        284 |         50 |         34 |        368 |
| views/app/ToppingItemDetail                                                                                |          3 |        150 |          3 |         31 |        184 |
| views/app/ToppingItemEdit                                                                                  |          3 |        358 |         23 |         51 |        432 |
| views/app/ToppingList                                                                                      |          4 |        706 |         28 |         74 |        808 |
| views/app/analytics                                                                                        |          2 |        459 |         71 |         68 |        598 |
| views/app/cashier                                                                                          |          2 |         43 |          0 |          5 |         48 |
| views/app/dishes                                                                                           |          5 |        678 |         48 |         67 |        793 |
| views/app/edit                                                                                             |          3 |        418 |         91 |         45 |        554 |
| views/app/home                                                                                             |          3 |        335 |         19 |         40 |        394 |
| views/app/map                                                                                              |          3 |         97 |         18 |         14 |        129 |
| views/app/menuGroup                                                                                        |          1 |         43 |         45 |          6 |         94 |
| views/app/newOrder                                                                                         |          1 |         19 |          0 |          4 |         23 |
| views/app/orders                                                                                           |          1 |         27 |          0 |          5 |         32 |
| views/app/paypal                                                                                           |          3 |        193 |         12 |         21 |        226 |
| views/app/second-menu                                                                                      |          3 |         42 |          0 |          5 |         47 |
| views/app/staffs                                                                                           |          4 |        249 |          8 |         36 |        293 |
| views/app/toppingGroup                                                                                     |          1 |         43 |         45 |          6 |         94 |
| views/app/toppings                                                                                         |          5 |        611 |        121 |         55 |        787 |
| views/merchant                                                                                             |          5 |        817 |         34 |         74 |        925 |
| views/restaurant                                                                                           |          8 |        959 |         96 |        125 |      1,180 |
| views/utils                                                                                                |          1 |          3 |          0 |          1 |          4 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                   | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/mac/Workspaces/Code/foa/frontend/src/App.js                                                         | JavaScript       |        246 |         29 |         27 |        302 |
| /Users/mac/Workspaces/Code/foa/frontend/src/AppRenderer.js                                                 | JavaScript       |         19 |          6 |          4 |         29 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/_base.style.scss                               | SCSS             |      7,194 |        114 |      1,470 |      8,778 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/_custom.style.scss                             | SCSS             |         99 |          7 |         23 |        129 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/_mixins.scss                                   | SCSS             |         78 |         24 |         17 |        119 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.dark.blue.scss                     | SCSS             |         30 |          0 |          9 |         39 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.dark.green.scss                    | SCSS             |         30 |          0 |          9 |         39 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.dark.orange.scss                   | SCSS             |         30 |          0 |          9 |         39 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.dark.purple.scss                   | SCSS             |         30 |          0 |          9 |         39 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.dark.red.scss                      | SCSS             |         30 |          0 |          9 |         39 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.light.blue.scss                    | SCSS             |         30 |          0 |         10 |         40 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.light.green.scss                   | SCSS             |         30 |          0 |         10 |         40 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.light.orange.scss                  | SCSS             |         31 |          0 |         10 |         41 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.light.purple.scss                  | SCSS             |         30 |          0 |         10 |         40 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/sass/themes/base.light.red.scss                     | SCSS             |         30 |          0 |         10 |         40 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/vendor/bootstrap.min.css                            | CSS              |          1 |          6 |          0 |          7 |
| /Users/mac/Workspaces/Code/foa/frontend/src/assets/css/vendor/bootstrap.rtl.only.min.css                   | CSS              |      1,356 |          0 |         72 |      1,428 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/CalendarToolbar.js                                  | JavaScript       |         45 |          0 |          6 |         51 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/DatatablePagination.js                              | JavaScript       |        159 |          0 |         16 |        175 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/StateButton.js                                      | JavaScript       |         91 |          0 |          4 |         95 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/applications/ChatHeading.js                         | JavaScript       |         30 |          0 |          3 |         33 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/applications/MessageCard.js                         | JavaScript       |         40 |          0 |          4 |         44 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/applications/SaySomething.js                        | JavaScript       |         38 |          0 |          3 |         41 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/applications/SurveyDetailCard.js                    | JavaScript       |         35 |          0 |          6 |         41 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/applications/SurveyListItem.js                      | JavaScript       |         51 |          0 |          4 |         55 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/applications/SurveyQuota.js                         | JavaScript       |         51 |          0 |          4 |         55 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/applications/TodoListItem.js                        | JavaScript       |         55 |          0 |          4 |         59 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/cards/GradientCard.js                               | JavaScript       |         12 |          0 |          2 |         14 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/cards/GradientWithRadialProgressCard.js             | JavaScript       |         34 |          0 |          2 |         36 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/cards/IconCard.js                                   | JavaScript       |         19 |          0 |          2 |         21 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/cards/Post.js                                       | JavaScript       |         96 |          0 |         10 |        106 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/cards/PriceCard.js                                  | JavaScript       |         43 |          0 |         12 |         55 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/cards/RadialProgressCard.js                         | JavaScript       |         31 |          0 |          2 |         33 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/cards/ThumbnailImage.js                             | JavaScript       |         18 |          0 |          2 |         20 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/cards/ThumbnailLetters.js                           | JavaScript       |         31 |          0 |          4 |         35 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/cards/UserCardBasic.js                              | JavaScript       |         38 |          0 |          3 |         41 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/carousel/GlideComponent.js                          | JavaScript       |        105 |          0 |         11 |        116 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/carousel/GlideComponentThumbs.js                    | JavaScript       |        196 |          0 |         17 |        213 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/Area.js                                      | JavaScript       |         41 |          0 |          4 |         45 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/Bar.js                                       | JavaScript       |         41 |          0 |          5 |         46 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/Doughnut.js                                  | JavaScript       |         40 |          0 |          4 |         44 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/Line.js                                      | JavaScript       |         39 |          0 |          4 |         43 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/Pie.js                                       | JavaScript       |         38 |          0 |          4 |         42 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/PolarArea.js                                 | JavaScript       |         38 |          0 |          4 |         42 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/Radar.js                                     | JavaScript       |         38 |          0 |          4 |         42 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/Scatter.js                                   | JavaScript       |         38 |          0 |          4 |         42 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/SmallLine.js                                 | JavaScript       |         94 |          0 |          9 |        103 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/config.js                                    | JavaScript       |        268 |          0 |          9 |        277 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/index.js                                     | JavaScript       |         20 |          0 |          2 |         22 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/charts/util.js                                      | JavaScript       |         64 |          0 |         14 |         78 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/ApplicationMenu.js                           | JavaScript       |         58 |          0 |         10 |         68 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/ColorSwitcher.js                             | JavaScript       |        139 |          2 |         10 |        151 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/CustomBootstrap.js                           | JavaScript       |          9 |          0 |          0 |          9 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/CustomSelectInput.js                         | JavaScript       |          9 |          0 |          3 |         12 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/DatePicker/DatePicker.js                     | JavaScript       |         32 |          4 |          5 |         41 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/DatePicker/DatePicker.scss                   | SCSS             |          5 |          0 |          1 |          6 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/DatePicker/index.js                          | JavaScript       |          2 |          0 |          2 |          4 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/PopoverItem.js                               | JavaScript       |         38 |          0 |          4 |         42 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/Rating.js                                    | JavaScript       |         36 |          1 |          6 |         43 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/ReactAutoSuggest.js                          | JavaScript       |         73 |          0 |         12 |         85 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/RecentPost.js                                | JavaScript       |         22 |          0 |          2 |         24 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/SliderTooltips.js                            | JavaScript       |         76 |          1 |          7 |         84 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/TooltipItem.js                               | JavaScript       |         37 |          0 |          3 |         40 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/UploadImage/index.js                         | JavaScript       |          2 |          0 |          2 |          4 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/UploadImage/upload.js                        | JavaScript       |        109 |          3 |          9 |        121 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/UploadImage/upload.scss                      | SCSS             |         45 |         10 |          9 |         64 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/UserFollow.js                                | JavaScript       |         23 |          0 |          3 |         26 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/VideoPlayer.js                               | JavaScript       |         22 |          0 |          2 |         24 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/Notification.js          | JavaScript       |         64 |          0 |          9 |         73 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/NotificationContainer.js | JavaScript       |         45 |          0 |         10 |         55 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/NotificationManager.js   | JavaScript       |        120 |          0 |         17 |        137 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/Notifications.js         | JavaScript       |         59 |          0 |          6 |         65 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/common/react-notifications/index.js                 | JavaScript       |          5 |          0 |          2 |          7 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/forms/ProfileForm.js                                | JavaScript       |        226 |          2 |         21 |        249 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/map/Map/Mapbox.jsx                                  | JavaScript React |         49 |          2 |          9 |         60 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/map/Map/Mapbox.scss                                 | SCSS             |         24 |          1 |          4 |         29 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/map/Map/index.jsx                                   | JavaScript React |          2 |          0 |          2 |          4 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/pages/CommentWithLikes.js                           | JavaScript       |         48 |          0 |          5 |         53 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/pages/QuestionAnswer.js                             | JavaScript       |         37 |          0 |          4 |         41 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/pages/SingleLightbox.js                             | JavaScript       |         33 |          0 |          7 |         40 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/svg/DataListIcon.js                                 | JavaScript       |         20 |          0 |          3 |         23 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/svg/ImageListIcon.js                                | JavaScript       |         12 |          0 |          3 |         15 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/svg/MenuIcon.js                                     | JavaScript       |         18 |          0 |          2 |         20 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/svg/MobileMenuIcon.js                               | JavaScript       |         11 |          0 |          3 |         14 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/svg/ThumbListIcon.js                                | JavaScript       |         32 |          0 |          3 |         35 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/svg/index.js                                        | JavaScript       |          6 |          0 |          2 |          8 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/wizard/BottomNavigation.js                          | JavaScript       |         23 |          0 |          3 |         26 |
| /Users/mac/Workspaces/Code/foa/frontend/src/components/wizard/TopNavigation.js                             | JavaScript       |         48 |          0 |          4 |         52 |
| /Users/mac/Workspaces/Code/foa/frontend/src/constants/config.js                                            | JavaScript       |         12 |          5 |          3 |         20 |
| /Users/mac/Workspaces/Code/foa/frontend/src/constants/constants.js                                         | JavaScript       |         59 |          0 |          5 |         64 |
| /Users/mac/Workspaces/Code/foa/frontend/src/constants/defaultValues.js                                     | JavaScript       |         26 |         16 |          5 |         47 |
| /Users/mac/Workspaces/Code/foa/frontend/src/constants/index.js                                             | JavaScript       |          4 |          0 |          1 |          5 |
| /Users/mac/Workspaces/Code/foa/frontend/src/constants/menu.js                                              | JavaScript       |         77 |         82 |          3 |        162 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/ConversionRatesChartCard.js              | JavaScript       |         48 |          1 |          7 |         56 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderAreaChartCard.js                    | JavaScript       |         98 |         46 |         16 |        160 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderAreaChartCard.scss                  | SCSS             |         39 |          1 |          9 |         49 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderByMonthChartCard.js                 | JavaScript       |        190 |          5 |         21 |        216 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderByMonthChartCard.scss               | SCSS             |         37 |          0 |          9 |         46 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderRevenueChartCard.js                 | JavaScript       |        263 |         38 |         25 |        326 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderRevenueChartCard.scss               | SCSS             |         37 |          0 |          9 |         46 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderRevenuePieChartCard.js              | JavaScript       |        159 |         20 |         18 |        197 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderRevenuePieChartCard.scss            | SCSS             |         38 |          1 |          9 |         48 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderStatusChartCard.js                  | JavaScript       |        179 |         21 |         21 |        221 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderStatusChartCard.scss                | SCSS             |         39 |          1 |          9 |         49 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/OrderStockRadarChart.js                  | JavaScript       |         20 |          0 |          5 |         25 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/ProductCategoriesDoughnut.js             | JavaScript       |         20 |          0 |          5 |         25 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/ProductCategoriesPolarArea.js            | JavaScript       |         20 |          0 |          5 |         25 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/ProfileStatuses.js                       | JavaScript       |         30 |          0 |          4 |         34 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/RevenueInsightChartCard.js               | JavaScript       |        179 |         23 |         21 |        223 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/RevenueInsightChartCard.scss             | SCSS             |         39 |          0 |          9 |         48 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/SalesChartCard.js                        | JavaScript       |         48 |          0 |          6 |         54 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/SmallLineCharts.js                       | JavaScript       |         45 |          0 |          5 |         50 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/SortableStaticticsRow.js                 | JavaScript       |         39 |          0 |          4 |         43 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/dashboards/WebsiteVisitsChartCard.js                | JavaScript       |         51 |          0 |          6 |         57 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/AvailityBasic.js                   | JavaScript       |         86 |          1 |         10 |         97 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/AvailityCustom.js                  | JavaScript       |        153 |          1 |         14 |        168 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/AvailityDefaultValues.js           | JavaScript       |         84 |          1 |         13 |         98 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/FormikBasicFieldLevel.js           | JavaScript       |         87 |          0 |         10 |         97 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/FormikBasicFormLevel.js            | JavaScript       |         76 |          0 |         13 |         89 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/FormikCustomComponents.js          | JavaScript       |        323 |          0 |         17 |        340 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/FormikCustomWithTopLabels.js       | JavaScript       |        300 |          0 |         19 |        319 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/FormikFields.js                    | JavaScript       |        282 |          0 |         21 |        303 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/FormikValidationSchema.js          | JavaScript       |        111 |          0 |         13 |        124 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/form-validations/TooltipLocations.js                | JavaScript       |        152 |          0 |         22 |        174 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/navs/Breadcrumb.js                                  | JavaScript       |         53 |          0 |          6 |         59 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/navs/Sidebar.js                                     | JavaScript       |        524 |        127 |         34 |        685 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/navs/Topnav.DarkSwitch.js                           | JavaScript       |         66 |          0 |          9 |         75 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/navs/Topnav.EasyAccess.js                           | JavaScript       |         46 |          0 |          4 |         50 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/navs/Topnav.Notifications.js                        | JavaScript       |         52 |          0 |          5 |         57 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/navs/Topnav.js                                      | JavaScript       |        350 |         51 |         43 |        444 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/AddNewModal.js                                | JavaScript       |         62 |         28 |          3 |         93 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/ContextMenuContainer.js                       | JavaScript       |         21 |          0 |          3 |         24 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/DataListView.js                               | JavaScript       |        123 |          5 |         10 |        138 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/FeatureComparison.js                          | JavaScript       |        321 |          0 |         23 |        344 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/GalleryDetail.js                              | JavaScript       |         73 |          0 |          8 |         81 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/GalleryProfile.js                             | JavaScript       |        121 |          0 |         13 |        134 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/ImageListView.js                              | JavaScript       |         69 |          1 |          3 |         73 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/ListPageHeading.js                            | JavaScript       |        261 |          0 |         14 |        275 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/ListPageHeading.scss                          | SCSS             |          4 |          2 |          1 |          7 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/Orders.js                                     | JavaScript       |         40 |          0 |          5 |         45 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/Pagination.js                                 | JavaScript       |         99 |          0 |          6 |        105 |
| /Users/mac/Workspaces/Code/foa/frontend/src/containers/pages/ThumbListView.js                              | JavaScript       |         75 |          1 |          4 |         80 |
| /Users/mac/Workspaces/Code/foa/frontend/src/data/charts.js                                                 | JavaScript       |        267 |          3 |         14 |        284 |
| /Users/mac/Workspaces/Code/foa/frontend/src/data/notifications.js                                          | JavaScript       |         27 |          1 |          1 |         29 |
| /Users/mac/Workspaces/Code/foa/frontend/src/data/profileStatuses.js                                        | JavaScript       |         28 |          6 |          1 |         35 |
| /Users/mac/Workspaces/Code/foa/frontend/src/helpers/Firebase.js                                            | JavaScript       |         10 |          0 |          6 |         16 |
